dataset_name,image_name,I1,I2,I3,I4,I5,I6
bdd100k,bdd100k_val_b1f0efd9-e900c6e5.jpg,0.369,1,0.714,0.606,0.014,13
bdd100k,bdd100k_val_b1f20aa0-50213047.jpg,0.505,1,0.662,0.767,0.001,3
bdd100k,bdd100k_val_b1f25ff6-1ddb7e43.jpg,0.238,0.364,0.432,0.551,0.003,4
bdd100k,bdd100k_val_b1f4491b-33824f31.jpg,0.512,0.684,0.706,0.696,0.03,17
bdd100k,bdd100k_val_b1f4491b-97465266.jpg,0.472,0.766,0.319,0.726,0.001,8
bdd100k,bdd100k_val_b1f6c103-8b75ea3e.jpg,0.398,1,0.665,0.658,0.086,9
bdd100k,bdd100k_val_b1f6c103-b00e8aad.jpg,0.46,1,0.756,0.568,0.052,8
bdd100k,bdd100k_val_b1f85377-44885085.jpg,0.604,0.394,0.515,0.807,0.032,4
bdd100k,bdd100k_val_b1fc95c9-cb2882c7.jpg,0.433,0.678,0.444,0.727,0.036,7
bdd100k,bdd100k_val_b204a5c1-fa3d5b88.jpg,0.562,0.65,0.188,0.666,0.001,5
bdd100k,bdd100k_val_b20b69d2-64b9cdb8.jpg,0.268,0.633,0.468,0.702,0.032,4
bdd100k,bdd100k_val_b20b69d2-bd242bf0.jpg,0.216,0.226,0,0.652,0.018,3
bdd100k,bdd100k_val_b20b69d2-ca16c907.jpg,0.318,0.857,0.779,0.706,0.002,5
bdd100k,bdd100k_val_b20ff95c-b9444127.jpg,0.289,0.754,0.676,0.666,0.09,6
bdd100k,bdd100k_val_b2102d00-5eb86b71.jpg,0.38,1,0.731,0.634,0.002,4
bdd100k,bdd100k_val_b2102d00-a8c09be1.jpg,,,,,NA,
bdd100k,bdd100k_val_b216243d-ad4306b9.jpg,0.079,0.728,0.675,1,0.106,1
bdd100k,bdd100k_val_b21742c2-0e7a2b57.jpg,0.269,0.644,0.384,0.846,0,3
bdd100k,bdd100k_val_b2194b15-1825056a.jpg,0.167,1,0.669,0.712,0.01,5
bdd100k,bdd100k_val_b21ac8b3-9b9cb45a.jpg,0.344,1,0.637,0.804,0,4
bdd100k,bdd100k_val_b21c86ac-0dc77d82.jpg,0.265,0.536,0.455,0.946,0.001,1
bdd100k,bdd100k_val_b21c86ac-2eb7ba16.jpg,0.169,0.794,0.574,0.736,0.001,6
bdd100k,bdd100k_val_b22a4d9f-48b2e986.jpg,0.481,0.659,0.46,0.761,0.002,7
bdd100k,bdd100k_val_b22f174d-a19c875e.jpg,0.214,1,0.524,1,0,1
bdd100k,bdd100k_val_b230a7b2-c881c382.jpg,0.263,1,0.731,0.674,0.295,8
bdd100k,bdd100k_val_b232c7c9-d251d9ee.jpg,0.456,0.484,0.164,0.671,0.003,7
bdd100k,bdd100k_val_b2331b83-648e56ca.jpg,0.131,1,0.87,0.84,0.001,3
bdd100k,bdd100k_val_b2331b83-a28e6b57.jpg,0.621,0.829,0.618,0.769,0.133,7
bdd100k,bdd100k_val_b23a79d1-43dfeecd.jpg,0.282,1,0.821,0.816,0.004,5
bdd100k,bdd100k_val_b23a79d1-e434acaa.jpg,0.636,0.539,0.671,0.857,0.056,5
bdd100k,bdd100k_val_b23b2649-1a78948d.jpg,0.071,0.853,0.597,1,0,3
bdd100k,bdd100k_val_b23f7012-32d284ce.jpg,,,,,NA,
bdd100k,bdd100k_val_b23fe89b-c704fe97.jpg,0.616,1,0.747,0.642,0.001,6
bdd100k,bdd100k_val_b245b306-ca3dca4e.jpg,0.345,1,0.695,0.767,0,4
bdd100k,bdd100k_val_b246c8e8-4dd36bfc.jpg,,,,,NA,
bdd100k,bdd100k_val_b24702e3-e6f33768.jpg,0.326,0.731,0.573,0.736,0.003,6
bdd100k,bdd100k_val_b24702e3-f56e0731.jpg,0.706,0.772,0.405,0.762,0.001,6
bdd100k,bdd100k_val_b24d283f-33783d1b.jpg,0.209,0.271,0.696,0.833,0,4
bdd100k,bdd100k_val_b250fb0c-01a1b8d3.jpg,0.333,0.379,0.444,0.908,0.001,1
bdd100k,bdd100k_val_b251064f-4696b75e.jpg,0.687,0.645,0.577,0.634,0.047,5
bdd100k,bdd100k_val_b255cd6c-0bdf0ac7.jpg,,,,,NA,
bdd100k,bdd100k_val_b255cd6c-fb594dcb.jpg,0.344,1,0.586,0.776,0.002,8
bdd100k,bdd100k_val_b258a38b-0126cc8c.jpg,0.273,0.431,0.37,0.74,0.001,3
bdd100k,bdd100k_val_b258d359-db99eff1.jpg,0.4,0.535,0.377,0.839,0,2
bdd100k,bdd100k_val_b25ae6c0-311e72c2.jpg,0.172,0.539,0.718,1,0.001,3
bdd100k,bdd100k_val_b25fd5d3-fa4bfca0.jpg,0.517,0.599,0.692,0.699,0.007,10
bdd100k,bdd100k_val_b2638d82-062aa1de.jpg,0.314,1,0.573,0.761,0.09,4
bdd100k,bdd100k_val_b26610ce-083c3bd1.jpg,0.239,0.945,0.681,0.732,0.005,5
bdd100k,bdd100k_val_b266429a-ac0c4ed3.jpg,0.265,0.135,0.068,0.629,0.018,2
bdd100k,bdd100k_val_b266db29-12bf52fa.jpg,0.587,0.493,0.597,0.673,0.105,14
bdd100k,bdd100k_val_b266db29-29fa8335.jpg,0.312,0.865,0.181,0.917,0,1
bdd100k,bdd100k_val_b266db29-c518f15d.jpg,0.483,0.895,0.329,0.789,0,5
bdd100k,bdd100k_val_b26ba07a-f781b661.jpg,0.429,1,0.557,0.736,0.018,10
bdd100k,bdd100k_val_b26cfcdc-2e290c42.jpg,0.303,0.778,0.61,0.666,0.083,8
bdd100k,bdd100k_val_b26cfcdc-7b00747d.jpg,0.39,0.583,0.338,0.788,0.002,3
bdd100k,bdd100k_val_b26cfcdc-eb092da8.jpg,0.4,0.504,0.476,0.698,0.034,7
bdd100k,bdd100k_val_b26dddb5-28e4a05f.jpg,0.25,0.362,0.498,0.836,0,1
bdd100k,bdd100k_val_b27098c3-915a9986.jpg,0.157,0.462,0.356,0.871,0,6
bdd100k,bdd100k_val_b2714f5d-07bf604c.jpg,0.185,1,0.753,0.633,0.016,5
bdd100k,bdd100k_val_b2714f5d-5bc98e55.jpg,0.391,0.447,0.407,0.818,0.001,1
bdd100k,bdd100k_val_b27369f3-9b9598f4.jpg,0.316,0.528,0.284,0.654,0.001,2
bdd100k,bdd100k_val_b275c028-6a0665cb.jpg,0.302,1,0.544,0.659,0.072,9
bdd100k,bdd100k_val_b27688b6-1af27060.jpg,0.089,1,0.673,0.84,0.095,2
bdd100k,bdd100k_val_b2794401-ba7d3c05.jpg,0.137,0.983,0.581,0.707,0.047,4
bdd100k,bdd100k_val_b279bc06-4fa57251.jpg,0.948,0.653,0.341,0.76,0.044,3
bdd100k,bdd100k_val_b27b0cd9-f184d9a3.jpg,0.43,0.592,0.478,0.709,0.023,4
bdd100k,bdd100k_val_b27d5dcb-856c0b43.jpg,0.285,0.415,0.559,0.671,0.066,3
bdd100k,bdd100k_val_b284c0e8-85fbc42a.jpg,0.471,0.675,0.662,0.678,0.08,10
bdd100k,bdd100k_val_b285698b-ff1293ce.jpg,0.31,1,0.604,0.692,0.003,13
bdd100k,bdd100k_val_b2860d72-0b43e851.jpg,0.506,0.958,0.637,0.713,0.035,4
bdd100k,bdd100k_val_b289f2e8-cec8700d.jpg,0.722,0.87,0.841,0.693,0.005,7
bdd100k,bdd100k_val_b28aac6c-9f1b99cb.jpg,0.252,1,0.785,0.694,0.131,7
bdd100k,bdd100k_val_b28ec521-69495052.jpg,0.693,1,0.811,0.749,0.025,13
bdd100k,bdd100k_val_b28ec521-834a964c.jpg,0.393,0.766,0.32,0.938,0.009,2
bdd100k,bdd100k_val_b28f288b-784f7606.jpg,0.312,0.371,0.361,0.727,0.006,9
bdd100k,bdd100k_val_b291cfd6-a46efbcc.jpg,0.793,0.355,0.428,0.808,0.001,1
bdd100k,bdd100k_val_b291cfd6-a6275049.jpg,0.569,0.748,0.51,0.658,0.03,13
bdd100k,bdd100k_val_b2932832-a2c8f6ef.jpg,0.352,0.799,0.592,0.721,0.012,8
bdd100k,bdd100k_val_b29377e0-83e8340a.jpg,0.725,0.995,0.768,0.715,0.009,6
bdd100k,bdd100k_val_b2965b06-88a1da19.jpg,0.495,1,0.886,0.613,0.016,7
bdd100k,bdd100k_val_b29f7159-219cf764.jpg,0.194,0.486,0.449,0.778,0.174,2
bdd100k,bdd100k_val_b2a0dbe8-85f1894e.jpg,0.266,1,0.509,0.692,0.031,5
bdd100k,bdd100k_val_b2a1e013-638d6e4d.jpg,0.364,0.569,0.426,0.665,0.033,7
bdd100k,bdd100k_val_b2a1e172-a969db88.jpg,0.176,1,0.529,0.704,0.043,4
bdd100k,bdd100k_val_b2a46c1e-87aac2ec.jpg,0.667,0.528,0.422,0.735,0.003,5
bdd100k,bdd100k_val_b2a4738f-1c4a1373.jpg,0.226,1,0.496,0.798,0,5
bdd100k,bdd100k_val_b2a4bc4d-6f7c1727.jpg,0.857,1,0.338,0.94,0,1
bdd100k,bdd100k_val_b2a60634-0817a6eb.jpg,0.167,0.644,0.353,1,0.004,3
bdd100k,bdd100k_val_b2a60634-40847419.jpg,0.485,1,0.882,0.826,0.002,2
bdd100k,bdd100k_val_b2a8e8b4-50058f09.jpg,0.783,0.897,0,0.728,NA,2
bdd100k,bdd100k_val_b2ae0446-4b0bfda7.jpg,0.327,0.9,0.711,0.735,0.136,3
bdd100k,bdd100k_val_b2b2f563-ec318c61.jpg,0.607,0.529,0.489,0.789,0,3
bdd100k,bdd100k_val_b2b32394-e46669cb.jpg,0.415,0.593,0.754,0.854,0.01,4
bdd100k,bdd100k_val_b2b74321-f6578001.jpg,0.015,0.571,0.731,1,0.001,3
bdd100k,bdd100k_val_b2be7200-b6f7fe0a.jpg,0.316,0.364,0.337,0.815,0.001,3
bdd100k,bdd100k_val_b2bee3e1-80c787bd.jpg,0.9,0.943,0.659,0.595,0.002,5
bdd100k,bdd100k_val_b2bee3e1-915eb541.jpg,0.68,0.491,0.513,0.696,0.008,5
bdd100k,bdd100k_val_b2c0e5c1-9666ba7e.jpg,0.75,0.198,0.02,0.968,0.001,1
bdd100k,bdd100k_val_b2c2f563-02143de0.jpg,0.738,0.469,0.337,0.684,0.043,14
bdd100k,bdd100k_val_b2c542e3-02f579a6.jpg,0.405,0.439,0.48,0.748,0.014,12
bdd100k,bdd100k_val_b2c7d048-fdd059eb.jpg,0.169,1,0.607,0.753,0.002,4
bdd100k,bdd100k_val_b2cbf6d8-732b47be.jpg,0.224,0.336,0.455,0.83,0,2
bdd100k,bdd100k_val_b2cf78ec-6043f571.jpg,0.147,1,0.83,0.923,0.027,3
bdd100k,bdd100k_val_b2da7e9c-6fe28d5e.jpg,0.745,0.391,0.384,0.797,0,3
bdd100k,bdd100k_val_b2de6f59-9f74dea1.jpg,0.761,0.684,0.852,0.647,0.057,3
bdd100k,bdd100k_val_b2e2f4ed-6ba045d0.jpg,0.273,1,0.775,0.603,0.001,6
bdd100k,bdd100k_val_b2e54795-0dc285dd.jpg,0.586,0.431,0.486,0.796,0.019,4
bdd100k,bdd100k_val_b2e54795-6d4ef5f9.jpg,0.818,0.688,0.449,0.857,0,1
bdd100k,bdd100k_val_b2e73518-547798ef.jpg,0.157,0.396,0.502,0.836,0,1
bdd100k,bdd100k_val_b2e96aa8-3624f23d.jpg,0.682,0.378,0.698,0.715,0.143,6
bdd100k,bdd100k_val_b2ec68ce-d345784e.jpg,0.484,1,0.645,0.772,0.003,7
bdd100k,bdd100k_val_b2f48fc3-eda0e217.jpg,0.645,0.882,0.471,0.689,0.002,7
bdd100k,bdd100k_val_b2f4a409-36a7d7c9.jpg,0.1,0.497,0.645,NA,0.026,2
bdd100k,bdd100k_val_b2f4a409-5ddff11a.jpg,0.309,1,0.549,0.748,0.047,4
bdd100k,bdd100k_val_b2f68bad-aa8f35d1.jpg,0.094,0.245,0.506,0.986,0.003,2
bdd100k,bdd100k_val_b2fc6d24-0af7cdca.jpg,0.304,0.747,0.222,0.664,0.002,4
bdd100k,bdd100k_val_b2fc7cb5-1635d64b.jpg,0.406,1,0.737,0.733,0.007,7
bdd100k,bdd100k_val_b3060c96-d2391b61.jpg,0.573,0.438,0.4,0.745,0.001,4
bdd100k,bdd100k_val_b306fb3f-f02e46cc.jpg,0.402,0.87,0.612,0.766,0,5
bdd100k,bdd100k_val_b30b460d-0e26bd8a.jpg,0.144,0.549,0.417,0.682,0.018,9
bdd100k,bdd100k_val_b30b460d-7a788684.jpg,0.053,0.432,0.595,1,0.004,5
bdd100k,bdd100k_val_b30ba07c-6692a0e3.jpg,0.112,0.972,0.72,0.962,0.136,3
bdd100k,bdd100k_val_b3110036-a32dc26e.jpg,0.53,0.588,0.567,0.669,0,5
bdd100k,bdd100k_val_b3121071-461523a5.jpg,0.222,0.854,0.635,0.853,0.002,4
bdd100k,bdd100k_val_b3121071-afc8cca5.jpg,0.353,0.237,0.059,1,0,2
bdd100k,bdd100k_val_b312dcb5-3c956847.jpg,0.25,1,0.528,0.752,0.001,4
bdd100k,bdd100k_val_b312dcb5-82c0d608.jpg,0.442,1,0.813,0.622,0.109,8
bdd100k,bdd100k_val_b312dcb5-fbd7070b.jpg,0.24,0.733,0.577,0.747,0,1
bdd100k,bdd100k_val_b3154d05-8bc595ba.jpg,0.652,0.627,0.682,0.68,0.129,11
bdd100k,bdd100k_val_b3158519-23c9c58d.jpg,0.167,0.954,0.612,0.867,0.002,2
bdd100k,bdd100k_val_b3158519-6afea489.jpg,0.144,1,0.389,0.692,0.051,4
bdd100k,bdd100k_val_b3159650-1ba75f9b.jpg,0.286,0.013,0,0.964,0,2
bdd100k,bdd100k_val_b319b67e-b43ffc33.jpg,0.195,0.266,0.408,0.697,0.132,4
bdd100k,bdd100k_val_b322412a-58073611.jpg,0.611,0.637,0.794,0.785,0,3
bdd100k,bdd100k_val_b325fe35-b59e4e91.jpg,0.239,0.601,0.785,0.713,0.084,8
bdd100k,bdd100k_val_b32661a1-57c937fe.jpg,0.638,1,0.718,0.683,0.007,6
bdd100k,bdd100k_val_b329fe7d-f06455d3.jpg,0.255,1,0.815,0.612,0.269,9
bdd100k,bdd100k_val_b32a9f8b-2b3d9894.jpg,0.587,0.902,0.624,0.732,0.037,9
bdd100k,bdd100k_val_b331b06b-83fd459b.jpg,0.408,0.131,0.222,0.714,0.003,3
bdd100k,bdd100k_val_b3329255-4a5988f8.jpg,0.206,0.129,0.42,0.854,0,1
bdd100k,bdd100k_val_b3329255-76b9bb88.jpg,1,0.274,0.297,0.849,0.001,1
bdd100k,bdd100k_val_b332df78-970364e2.jpg,0.154,1,0.627,0.597,0.144,4
bdd100k,bdd100k_val_b332df78-d6228140.jpg,0.237,0.622,0.586,0.79,0.001,5
bdd100k,bdd100k_val_b332df78-d6c7dff7.jpg,0.175,1,0.874,0.881,0,3
bdd100k,bdd100k_val_b334b56d-b82e26b5.jpg,0.106,0.802,0.469,0.746,0.001,3
bdd100k,bdd100k_val_b3363496-9d8e32e7.jpg,0.488,0.765,0.624,0.682,0.121,3
bdd100k,bdd100k_val_b336bdb9-ed5d2cc3.jpg,0.207,0.433,0.528,0.725,0.102,12
bdd100k,bdd100k_val_b3378e5e-b7593301.jpg,0.505,0.794,0.692,0.648,0.121,8
bdd100k,bdd100k_val_b3378e5e-e0df1ef5.jpg,0.222,0.286,0.302,0.698,0,1
bdd100k,bdd100k_val_b3386c15-1c922cea.jpg,0.432,1,0.882,0.705,0.002,7
bdd100k,bdd100k_val_b338efff-595690ba.jpg,0.402,1,0.644,0.733,0.009,13
bdd100k,bdd100k_val_b33a7e88-bc0eabcf.jpg,0.216,1,0.757,0.72,0.006,5
bdd100k,bdd100k_val_b33ced12-423ec0dc.jpg,0.347,0.543,0.238,0.697,0.111,5
bdd100k,bdd100k_val_b3422c91-f0c36ed7.jpg,0.402,1,0.789,0.653,0.152,7
bdd100k,bdd100k_val_b3450498-dbbb787e.jpg,0.876,0.729,0.761,0.812,0.001,4
bdd100k,bdd100k_val_b3456910-cf5fb475.jpg,0.653,1,0.501,0.76,0.181,3
bdd100k,bdd100k_val_b3488ceb-84e6ade1.jpg,0.308,0.818,0.8,0.856,0.001,3
bdd100k,bdd100k_val_b34b1b88-0f326921.jpg,0.301,1,0.847,0.736,0.001,5
bdd100k,bdd100k_val_b350afdd-9c872c22.jpg,0.439,1,0.826,0.634,0.06,3
bdd100k,bdd100k_val_b355880f-7cb7ed1e.jpg,0.1,1,0.259,0.639,0,2
bdd100k,bdd100k_val_b35cfd7c-2d625033.jpg,0.147,0.523,0.467,0.669,0.087,3
bdd100k,bdd100k_val_b362130a-d4f3a32a.jpg,0.353,1,0.698,0.704,0.012,4
bdd100k,bdd100k_val_b3683422-cce330a8.jpg,0.515,1,0.774,0.673,0.009,8
bdd100k,bdd100k_val_b368ee71-aba6eeef.jpg,1,0.744,0.676,0.848,0.185,1
bdd100k,bdd100k_val_b368ee71-e2f04304.jpg,0.487,0.719,0.527,0.711,0.012,12
bdd100k,bdd100k_val_b36a5c73-7985c3ec.jpg,0.375,0.89,0.22,0.815,0.006,2
bdd100k,bdd100k_val_b36d14ea-eed9255b.jpg,1,0.596,0.213,0.879,0,1
bdd100k,bdd100k_val_b36de7af-ca137216.jpg,0.333,0.176,0,0.872,0.008,1
bdd100k,bdd100k_val_b36e0178-0f46bca5.jpg,0.197,1,0.574,0.632,0.031,4
bdd100k,bdd100k_val_b371451e-7caf934b.jpg,0.176,0.433,0.584,0.781,0.015,7
bdd100k,bdd100k_val_b37693d0-cd9bdf88.jpg,,,,,NA,
bdd100k,bdd100k_val_b3770858-ea33d0dc.jpg,,,,,NA,
bdd100k,bdd100k_val_b378e452-3aa3d11d.jpg,0.48,1,0.868,0.662,0.001,5
bdd100k,bdd100k_val_b37b9cf2-9d52b009.jpg,0.385,0.693,0.583,0.696,0.135,3
bdd100k,bdd100k_val_b37c1ca4-561ffad3.jpg,0.892,0.444,0.449,0.765,0.001,3
bdd100k,bdd100k_val_b37c2955-5f0aef70.jpg,0.489,1,0.751,0.731,0.003,3
bdd100k,bdd100k_val_b37c86c4-53f2f54c.jpg,0.892,0.789,0.691,0.761,0.004,5
bdd100k,bdd100k_val_b37d75bd-e971140f.jpg,0.568,0.654,0.679,0.655,0.194,8
bdd100k,bdd100k_val_b380ae2f-afd868dc.jpg,0.154,0.335,0.235,1,NA,2
bdd100k,bdd100k_val_b3815e24-b9565680.jpg,0.139,1,0.361,0.848,0.054,3
bdd100k,bdd100k_val_b3853f81-272f6c37.jpg,0.534,1,0.803,0.667,0.04,6
bdd100k,bdd100k_val_b38580a1-f26eb052.jpg,0.729,0.723,0.674,0.657,0.079,10
bdd100k,bdd100k_val_b3967d1b-0088ba4e.jpg,0.364,0.223,0.147,0.681,0.062,4
bdd100k,bdd100k_val_b398327e-08f3a1f2.jpg,0.088,0.916,0.579,0.869,0.118,2
bdd100k,bdd100k_val_b3990aa9-4fb64582.jpg,0.368,0.53,0.633,0.64,0.026,3
bdd100k,bdd100k_val_b39fe3cd-29b2a728.jpg,0.424,1,0.756,0.697,0,3
bdd100k,bdd100k_val_b39fe3cd-d5fb9508.jpg,0.464,0.533,0.494,0.752,0,3
bdd100k,bdd100k_val_b39ffdda-eec0cc38.jpg,0.449,0.385,0.556,0.689,0.01,9
bdd100k,bdd100k_val_b3a102ed-6ef54f5e.jpg,0.559,1,0.711,0.848,0,5
bdd100k,bdd100k_val_b3a1e72b-f46924ca.jpg,0.314,0.961,0.732,0.739,0.045,9
bdd100k,bdd100k_val_b3a1e72b-f9a8ed50.jpg,0.358,1,0.715,0.574,0,4
bdd100k,bdd100k_val_b3a3d166-3a6a258d.jpg,0.391,0.257,0.417,0.781,0.022,3
bdd100k,bdd100k_val_b3a6f586-21d97cce.jpg,0.586,1,0.867,0.736,0.005,9
bdd100k,bdd100k_val_b3a6f586-3ea7e1ad.jpg,0.446,0.778,0.485,0.719,0.008,4
bdd100k,bdd100k_val_b3a84a0f-0fb529e1.jpg,0.121,0.837,0.527,1,0,1
bdd100k,bdd100k_val_b3a84a0f-61844c69.jpg,,,,,NA,
bdd100k,bdd100k_val_b3a87019-ba714074.jpg,0.286,0.317,0.33,0.694,0.001,2
bdd100k,bdd100k_val_b3a9281a-75473a1b.jpg,0.58,0.843,0.474,0.753,0.009,3
bdd100k,bdd100k_val_b3aacff1-967c15c1.jpg,0.655,0.316,0.591,0.657,0.01,9
bdd100k,bdd100k_val_b3b0f7f7-c97288ca.jpg,0.647,0.662,0.491,0.632,0.005,12
bdd100k,bdd100k_val_b3b2ffbe-cd80cda8.jpg,0.217,0.607,0.443,0.658,0,2
bdd100k,bdd100k_val_b3b44b49-7336e3ee.jpg,0.355,0.571,0.322,0.873,0.001,3
bdd100k,bdd100k_val_b3b4c0fe-2683b31e.jpg,0.415,0.409,0.551,0.777,0.012,5
bdd100k,bdd100k_val_b3b8fce6-c67646a7.jpg,0.381,0.958,0.846,0.651,0.102,9
bdd100k,bdd100k_val_b3b94eea-b06bca81.jpg,0.118,0.216,0.18,0.98,0.065,2
bdd100k,bdd100k_val_b3c26aff-417063a0.jpg,0.39,1,0.659,0.675,0.004,6
bdd100k,bdd100k_val_b3c4e98b-da58e181.jpg,0.368,1,0.864,0.797,0.008,4
bdd100k,bdd100k_val_b3c939e3-61fb6427.jpg,0.385,0.676,0.75,0.696,0.001,5
bdd100k,bdd100k_val_b3cc736f-03134262.jpg,0.315,1,0.85,0.747,0.001,7
bdd100k,bdd100k_val_b3cc736f-7a7794c0.jpg,0.385,0.957,0.754,0.741,0,2
bdd100k,bdd100k_val_b3cc736f-b7a66149.jpg,0.436,0.595,0.737,0.689,0.148,4
bdd100k,bdd100k_val_b3cd4bfe-93377084.jpg,0.535,0.73,0.662,0.677,0.003,8
bdd100k,bdd100k_val_b3d264b3-fbaef5ac.jpg,0.333,0.617,0.71,0.719,0,5
bdd100k,bdd100k_val_b3d6c39a-0a14df0d.jpg,0.5,0.784,0.628,0.827,0.001,4
bdd100k,bdd100k_val_b3db60f1-533170c9.jpg,0.514,1,0.429,0.832,0,2
bdd100k,bdd100k_val_b3dfa1f5-9f4eded2.jpg,0.577,0.754,0.515,0.802,0,1
bdd100k,bdd100k_val_b3e08585-3f5e6565.jpg,0.027,1,0.811,1,0,2
bdd100k,bdd100k_val_b3e72283-d9fc39b0.jpg,0.565,1,0.789,0.67,0,4
bdd100k,bdd100k_val_b3e7bfdb-0ce50151.jpg,0.105,0.328,0.779,1,0,1
bdd100k,bdd100k_val_b3e921ad-1fc43094.jpg,,,,,NA,
bdd100k,bdd100k_val_b3ea802a-8830eb32.jpg,0.32,0.247,0.562,0.887,0,1
bdd100k,bdd100k_val_b3ea802a-c689de9a.jpg,0.486,0.439,0.607,0.711,0.081,4
bdd100k,bdd100k_val_b3ec8e38-41c64395.jpg,0.286,1,0.773,0.743,0.001,6
bdd100k,bdd100k_val_b3ef316c-2906f850.jpg,0.549,0.745,0.705,0.774,0.009,4
bdd100k,bdd100k_val_b3f0cdab-6712e58f.jpg,0.383,0.43,0.078,0.675,0.014,4
bdd100k,bdd100k_val_b3f3c908-baffb699.jpg,0.452,0.593,0.734,0.786,0.003,5
bdd100k,bdd100k_val_b3f603f2-4a80d188.jpg,0.476,1,0.828,0.691,0.242,2
bdd100k,bdd100k_val_b40476bc-1397121a.jpg,0.302,0.916,0.461,0.804,0.017,5
bdd100k,bdd100k_val_b4065fc4-ede06556.jpg,0.239,0.63,0.593,0.652,0.105,9
bdd100k,bdd100k_val_b409ed8a-da6926db.jpg,0.359,0.564,0.557,0.658,0.036,15
bdd100k,bdd100k_val_b4115405-2f28f75a.jpg,0.792,0.369,0.455,0.671,0.181,6
bdd100k,bdd100k_val_b415cc29-7371aa85.jpg,0.278,1,0.735,0.741,0.002,8
bdd100k,bdd100k_val_b417ddcd-b1a6dfc8.jpg,1,0.688,0.517,0.747,0,2
bdd100k,bdd100k_val_b41ace08-8b937256.jpg,0.722,0.762,0.784,0.657,0.011,14
bdd100k,bdd100k_val_b4201bd2-75c1998d.jpg,0.083,1,0.602,1,0,1
bdd100k,bdd100k_val_b422ec08-236606a0.jpg,0.611,0.464,0.533,0.65,0.155,7
bdd100k,bdd100k_val_b4253988-26b49c14.jpg,0.578,1,0.737,0.714,0.001,7
bdd100k,bdd100k_val_b4259d0f-d93d7a19.jpg,0.59,0.464,0.407,0.678,0.125,10
bdd100k,bdd100k_val_b42df626-73f78ba9.jpg,0.336,0.42,0.417,0.667,0.166,3
bdd100k,bdd100k_val_b42e6271-4bce300c.jpg,0.379,0.971,0.562,0.745,0.019,5
bdd100k,bdd100k_val_b4301c7b-735da0d0.jpg,0.73,0.633,0.49,0.757,0.006,6
bdd100k,bdd100k_val_b433534e-ff3646aa.jpg,0.535,0.554,0.486,0.672,0.001,3
bdd100k,bdd100k_val_b4340944-5f7048d1.jpg,0.208,0.484,0.368,0.861,0.001,4
bdd100k,bdd100k_val_b439c4fe-5064fe59.jpg,0.667,0.323,0.352,0.73,0.001,5
bdd100k,bdd100k_val_b442c34a-6fe5cbba.jpg,0.707,0.506,0.532,0.615,0.001,7
bdd100k,bdd100k_val_b4466011-05cbc315.jpg,0.472,0.533,0.447,0.66,0.015,9
bdd100k,bdd100k_val_b4475526-2f0bca11.jpg,0.546,0.353,0.485,0.782,0.027,4
bdd100k,bdd100k_val_b4478c66-0103c647.jpg,0.412,0.216,0.401,0.809,0.001,4
bdd100k,bdd100k_val_b447a3cf-10656b18.jpg,0.209,1,0.54,0.786,0.063,6
bdd100k,bdd100k_val_b44a71bf-4d366798.jpg,0.369,1,0.6,0.666,0.093,5
bdd100k,bdd100k_val_b44a7e5f-1db66cfe.jpg,0.236,1,0.617,0.71,0,3
